goal,step0,step1,label,llama2,llama2_retries,mistral,mistral_retries,orca-mini:7b,orca-mini:7b_retries,qwen:7b,qwen:7b_retries
Clean a Bathtub,Scrub the grout with bleach or a cleaning product.,Apply the cleaner.,B,A,1,B,1,A,1,A,1
Play Heads Up 7 Up,"Have your pickers say, Heads up, seven up!  When the pickers say the name of the game in unison, the other students will open their eyes and lift ",Have the pickers choose one student each.,B,B,1,B,1,A,1,A,1
Weave a Willow Basket,Add weavers to the sides of the basket.,Weave the sides.,A,B,1,A,1,B,1,B,1
Remove Braids from Hair,Repeat the process until all of the braids are removed.,Detangle the lock of hair.,B,A,1,B,1,A,1,A,1
Test a Refrigerator PTC Relay,Order a replacement relay if the resistance doesn't read OL or 0-1 ohms.,Flip the relay upside-down to see if the resistance changes to 0-1 ohms.,B,B,1,A,1,A,1,A,1
Replace Awning Fabric,Remove the bolt and leg from the front end of the awning roller tube.,Reinsert the bolt and cover the bracket with tape.,A,B,1,A,1,A,1,A,1
Sew Pants Pockets,Cut along the edges of the paper pattern.,Pin the paper pattern piece onto your fabric.,B,A,1,A,1,A,1,A,1
Soothe Bites and Stings with Vodka,Allow the vodka to air-dry on your skin.,Squirt the vodka directly on your skin at dusk.,B,A,1,A,1,A,1,A,1
Breed Molly Fish,Remove the female from the aquarium before birthing begins.,Allow the fish to mate with one another.,B,B,1,A,1,A,1,A,1
Report a Bad Airbnb Stay,Evaluate and submit your review.,Write the text of your review.,B,A,1,B,1,A,1,A,1
Play Netball,Form two teams of 7 players.,Assign positions to the players.,A,A,1,A,1,A,1,A,1
Marble a Bottle,Pour 2 to 3 colors of acrylic craft paint into the bottle.,Clean a glass bottle with soap and water.,B,A,1,B,1,B,1,B,1
Do the Perfect Manicure or Pedicure,Add a top coat.,Allow nails to dry completely.,A,B,1,B,1,A,1,A,1
Surf,Paddle to your spot.,Identify a target spot.,B,A,1,B,1,A,1,A,1
Clean a Plastic Water Tank,Make a cleaning mixture.,Scrub the inside of the tank.,A,A,1,A,1,A,1,A,1
Relieve a Toothache and Bleeding Gums,Try crunched up paracetamol.,See the dentist as soon as possible if the bleeding gets any worse or if the toothache lasts more than a couple of days and the pain does not seem to be improving.,A,A,1,A,1,B,1,A,1
Cut Fabric on the Bias,Lay your fabric out in a single layer.,Place the pattern pieces on the fabric so the biases are perpendicular.,A,A,1,A,1,A,1,A,1
Make a Mastectomy Bra from a Regular Bra,Choose some fabric.,Place the fabric on a table.,A,B,1,A,1,A,1,A,1
Make Orange Julius,Enjoy!,"Add ice cubes one by one, until ice cubes are completely dissolved and drink is frothy.",B,B,1,A,1,B,1,A,1
Glaze a Cabinet,Cover the floors and other nearby surfaces with drop-cloths.,Tape off the walls around the edges of the cabinets with painter's tape.,A,A,1,A,1,A,1,A,1
Graph Polar Equations,Understand how polar equations work.,Make a table with values of the angle and radius.,A,A,1,A,1,A,1,A,1
Get Free Checkbook Software,Set up an account for initial use.,Talk to your bank about syncing your account information.,A,A,1,A,1,A,1,A,1
Be Ready and Comfortable Kissing a Guy,Start by cuddling.,Tell yourself that everything will be okay.,B,B,1,A,1,A,1,A,1
Make Matcha and Chocolate Swirl Cake,Serve with milk or unsweetened tea.,Bake in 350F or 180C degree in a preheated oven for 30 ,B,B,1,A,1,A,1,B,1
Wash Lacrosse Gear,Machine wash the uniform.,Tumble dry your uniform.,A,A,1,A,1,A,1,A,1
Apply for a US Visa,Read the information.,Enter the requested information.,A,A,1,A,1,A,1,A,1
Use a Vegetable Steamer,Fill the basket(s) with fresh vegetables.,Turn on your steamer and set the timer.,A,A,1,A,1,A,1,A,1
Take Apart a Track Bicycle,Optional: This is a good opportunity to change your brake pads and clean your brakes.,Unscrew the bolt that is driven into the brake through the fork.,B,A,1,B,1,T,3,B,1
Pan for Gold,Shake the pan vigorously several times.,Fill your pan so it is  full of gra,B,B,1,B,1,A,1,A,1
Use the Hue Tool on MediBang Paint Pro,"Press Ctrl+U on your keyboard to access the hue, brightness, and saturation menu on MediBang.",Move the slider on the hue bar.,A,A,1,A,1,A,1,A,1
Sue for Stock Broker Fraud,Complete other required forms.,Submit your application packet.,A,A,1,A,1,A,1,A,1
Enter a Dog in an American Bully Kennel Club (ABKC) Show,Find an event.,Look at the specific rules for each event.,A,A,1,A,1,A,1,A,1
Draw Harry Styles,Detail further with eye-balls and teeth.,"Make the shapes of the eyes, eyebrows, nose and a smiling mouth.",B,A,1,B,1,B,1,B,1
Store a Kayak,Attach the storage unit to the wall.,Buy a rope or bracket-style storage system.,B,A,1,B,1,B,1,A,1
Play the Trombone,Grip the movable part of the slide gently with your right hand.,Hold the trombone with your left hand by gripping the screw-joint.,B,B,1,A,1,A,1,A,1
Curl a Pixie Cut,Clip the roll of hair with an alligator clip.,Wrap the section of hair around your thumb and index finger.,B,A,1,B,1,B,1,A,1
Make a Cape,Make the casing.,Cut a piece of ribbon that's just a little longer than the casing.,A,A,1,A,1,A,1,A,1
Paint Vaulted Ceilings,Choose a color scheme for your ceiling.,Purchase a can of 2-in-1 interior house paint.,A,B,1,A,1,A,1,A,1
Verify Funds Before Cashing a Check,Find the banks contact inform,"Call the payers bank, or visit a branch in p",A,B,1,A,1,A,1,A,1
Take Action Against the Breach of a Purchase and Sale Agreement,Await the verdict.,Make closing arguments.,B,A,1,A,1,B,1,B,1
Cut Molding,Mark the length of the wall on the molding boards.,Visit a local hardware store and find a molding you like.,B,A,1,B,1,A,1,A,1
Clean Skechers Shoes,Wash your shoes on a cold cycle with laundry detergent.,Remove the laces and put the shoes in a delicates bag.,B,A,1,B,1,A,1,A,1
Install Steam on Linux,Type and run sudo apt install snapd.,Open your computer's Terminal window.,B,B,1,A,1,B,1,B,1
Clean Kale,Swish your kale around.,Submerge your kale in the water.,B,A,1,A,1,B,1,A,1
Assemble a Bicycle,Make sure each tire is mounted correctly on its rim.,Inflate the tires.,A,A,1,A,1,A,1,B,1
Deter House Wrens from Nestboxes,Make or purchase a Wren Guard.,Watch the nestbox.,A,B,1,A,1,A,1,A,1
Make a Match Box Bomb,Cut off all of the match heads.,Pour all the matches out of the box.,B,A,1,A,1,A,1,A,1
Grind Metal,Hold the grinding disc as level as you can to the piece of metal.,Grind along the length of the weld.,A,A,1,A,1,A,1,A,1
Perform a Titration,Drop a small amount of color indicator into the beaker.,Measure out a precise amount of analyte in a clean beaker or flask.,B,A,1,B,1,A,1,A,1
Remove a Woodruff Key,Fit the arms.,Tighten the forcing screw.,A,A,1,A,1,B,1,A,1
Report Phone Call Scams,Visit the FTC's Complaint Assistant online.,Choose the correct category and sub-category.,A,B,1,A,1,A,1,A,1
Download Full Albums,Type in an album's name.,Tap the search bar.,B,A,1,A,1,A,1,A,1
Lace Timberlands,Use the criss-cross or straight style but skip the fourth hole.,Thread the laces through the fifth hole.,A,A,1,A,1,A,1,A,1
Make a Waterbomb,Repeat the last step on the other side.,Fold the top flaps into the pockets.,B,B,1,B,1,B,1,B,1
Write a Confirmation Letter,Send your letter to the recipient promptly.,Sign the letter using blue or black ink.,B,A,1,A,1,B,1,A,1
Make Paper Cup iPhone Speakers,Cut the bottom off of each cup using a craft knife or box cutter.,Find two paper cups that are the same size.,B,A,1,B,1,A,1,A,1
Use Fashion Nova App on Android,Scroll down and view the featured items and collections.,Open the Fashion Nova app on your Android.,B,B,1,B,1,B,1,A,1
Extract Your DNA,Deliver the sample to a lab.,Collect your DNA.,B,B,1,A,1,A,1,A,1
Wet Sand Wood,Soak the sandpaper in water overnight.,Select high-grit wet sandpaper.,B,A,1,A,1,A,1,B,1
Make Spider Repellent at Home,Add dish soap and shake.,Combine essential oils and water.,B,B,1,B,1,A,1,A,1
Clean a Knife,Dry the knife.,Soak the knife for a minute or two if food is stuck on.,B,B,1,A,1,B,1,B,1
Play the Jew's Harp,Curl your lips.,Position it in your mouth.,B,A,1,B,1,B,1,A,1
Paint Fabric Shoes,Let the paint dry.,Paint your shoes following your design.,B,A,1,A,1,A,1,A,1
Stretch Cotton Pants Legs,Wait until your pants are dirty to wash them.,Wash cotton pants in a washing machine with cold water on a gentle cycle.,A,A,1,B,1,A,1,A,1
Obtain a CMS Certification Number,Complete the relevant form.,Read through the form carefully.,B,A,1,B,1,A,1,B,1
Weld Galvanized Steel,"Get a welding mask, respirator, welding gloves, and apron.",Use a fume extractor or set up a fan directly next to your welding site.,A,B,1,A,1,A,1,A,1
Make Chestnut Stuffing,Remove the stuffing when it is brown on top.,Cover and bake.,B,B,1,B,1,A,1,B,1
Get Into Harvard University,Meet for an interview if you are selected to do so.,Wait for a decision.,A,B,1,A,1,A,1,A,1
Infuse Vodka with Flavor,Strain the vodka.,Sample and enjoy!,A,A,1,B,1,A,1,B,1
File for Divorce in Oklahoma,Request a temporary order if necessary.,Serve your spouse with your divorce petition and the summons.,B,B,1,A,1,A,1,B,1
Make a Pipe from a Soda Can,"Get a needle,  pin or other sharp object.",Make an thumb-sized indention on side of the can.,A,A,1,A,1,A,1,A,1
Backstitch,Position your needle at one end of the guideline.,Use the machine to stitch along the line about 0.51 in (1.3,A,B,1,A,1,A,1,A,1
Include References on a Resume,List your references and their relevant information.,"Under the heading, add a clear title.",B,A,1,A,1,A,1,A,1
Play the Lute,Pluck each string and check the pitch with an electric tuner.,Rotate the corresponding pegs to adjust any out-of-tune strings.,A,A,1,A,1,A,1,A,1
Obtain a Copy of Your Birth Certificate in Ohio,Fill out the application form.,Have payment ready.,A,A,1,B,1,A,1,A,1
Bypass a Water Softener,Turn the valve to the bypass position to shut off soft wa,Locate the bypass valve near the tubes running off the water softener.,B,A,1,A,1,A,1,A,1
Replace Laminate Flooring,Place transition strips at doorways and other openings.,Apply pressure to the flooring.,B,A,1,A,1,A,1,A,1
Make Oatmeal Play Clay,"Place all of the dry ingredients, except for the oats, into a mixing bowl.",Add the oil.,A,A,1,A,1,A,1,A,1
Gift Wrap a Chocolate Bar in Brown Paper and Lace,Done.,Finish with decorative elements.,B,A,1,A,1,A,1,A,1
Factory Reset a Nook,Press the Home button.,"On the Home menu, tap Settings.",A,A,1,A,1,A,1,A,1
Clean Vans,Remove any caked-on dirt outside.,Use dish detergent and warm water.,A,B,1,A,1,A,1,A,1
Sell Scrap Metal,Allow facility personnel to unload your vehicle.,Weigh your vehicle.,B,A,1,A,1,B,1,A,1
Make Face Whitening Mask,Spread the mask over your face.,Stir the ingredients with a spoon or fork.,B,B,1,B,1,A,1,A,1
Paint a Greenhouse with Poinsettias in Watercolor,"Gather your supplies; a basic set of tube watercolors, brushes, a palette or white plastic plate, a water container, table salt and a support for your paper.",Set up colors on the palette.,A,A,1,A,1,A,1,A,1
Dispute a Chargeback,Wait for the result.,Attach evidence.,B,A,1,A,1,A,1,A,1
Apply Diatomaceous Earth,Vacuum up the powder after it has been sitting for 24 to 48 hours.,Reapply the powder after 2 weeks to kill any remaining bugs.,A,A,1,A,1,A,1,A,1
Create MP3 Files from Wikipedia Articles Using Pediaphon,Pick the language of your choice.,Go to the Pediaphon website.,B,A,1,A,1,A,1,B,1
Download Karaoke Songs,Download an IDM(internet download manager) along with key or keygen or crack.,Now go to online karaoke websites like KaraFun to listen to your favorite song the moment you play a song the IDM shows a download symbol.,A,A,1,A,1,A,1,A,1
Make a Petticoat,Sew the bottom and middle tiers together using a 1/2-inch (1.3-cm) seam.,Fold the seam against the middle tier and topstitch it down.,A,A,1,A,1,A,1,A,1
Create a Battery from a Lemon,Squeeze the lemon without breaking its skin.,Gather your materials.,B,B,1,A,1,A,1,B,1
Download Songs from SoundCloud,Open the SoundCloud site.,Click the search bar.,A,A,1,A,1,A,1,A,1
Remove Hair Naturally,Sprinkle cornstarch or arrowroot powder over the area to be waxed.,Wash the area you want to wax and prepare it for waxing.,B,B,1,A,1,A,1,B,1
Give a Speech in Front of Your Class,Pause for 10 seconds before you start your speech.,Project your voice.,A,A,1,A,1,A,1,A,1
Fit Fascia Boards,Cut the boards to length you need using a circular saw.,Rip the tops of the fascia boards to match the slope of your roof.,A,B,1,B,1,A,1,A,1
Play the Oboe,Curve your hands into C-shapes around the body of the oboe.,Set your left hand on the upper keys and your right hand below it.,A,A,1,A,1,B,1,B,1
Get Universal Studios Tickets from Costco,Use the trip builder to search for theme park trips.,Pick a Universal Studios package.,A,A,1,A,1,A,1,A,1
Wear Finger Picks,Form the pick to your finger.,Place the pick on the end of your index finger.,B,A,1,A,1,B,1,A,1
Divorce in Arkansas,Receive a Summons from court.,File the Complaint for Divorce.,B,A,1,B,1,B,1,A,1
Use a Vertical Water Smoker,Use a chimney starter to light charcoal for the smoker.,Place the food you want to smoke on the grates in the food chamber.,A,A,1,A,1,A,1,A,1
Color Hair,"Apply the henna paste to clean, dry hair.",Read the instructions and mix up the henna paste.,B,B,1,A,1,B,1,A,1
Make a Paracord Combat Bracelet,Repeat the second part of the knot.,Continue this process.,A,A,1,A,1,A,1,A,1
Make a Model of the Earth,Trace the continents onto the ball.,Paint the land and water.,A,A,1,A,1,A,1,A,1
Draw a Pretzel,Complete the drawing.,"From the top line, close the image full circle, with the knot at the center.",B,A,1,A,1,A,1,A,1
Make a Triangle in Photoshop on PC or Mac,Select the pen tool.,Click on a point on the canvas where you want to start your triangle.,A,A,1,A,1,A,1,A,1
Make a Camera Copy Stand,Pack the rod in tightly.,Drill a hole the diameter of the wooden rod (one inch/2.5cm).,B,A,1,B,1,A,1,A,1
Make a Noodle Beverage Boat,Measure each side of your container and cut the noodle to fit each side.,"Thread the noodle parts over a long, sturdy string or rope.",A,A,1,A,1,A,1,A,1
Create a DIY Extreme Macro Tube,Cut a hole in the metal bottom of an empty Pringles can.,Glue the body cap onto the Pringles can with super glue.,A,B,1,A,1,A,1,A,1
Make a Christmas Bow,Fluff the loops on either side.,Finish the bow.,A,A,1,A,1,A,1,A,1
Wash a Wool Coat,Lay the coat flat to dry.,Roll the coat in a towel.,B,B,1,B,1,A,1,A,1
Join Two Pieces of Wood,Allow the glue to cure overnight.,Wipe away excess glue after 20 minutes.,B,A,1,A,1,A,1,A,1
Build Stencils,Choose your material.,Reinforce your stencil.,A,A,1,A,1,A,1,A,1
Make a Foam Rocket,Slide the triangles together at the slits to lock then together.,Slide the interlocked fins into the slits in the bottom of your rocket.,A,A,1,A,1,A,1,A,1
Make a FlowerFilled Tulle,Arrange the flowers on the skirt.,Glue the flowers in place.,A,A,1,A,1,A,1,A,1
Make Spa Water,"Add the water, cucumber, and ice to a pitcher For the spa water, youll need a pitcher that holds approximately 2-quarts (1",Allow the water mixture to sit for a couple of hours before serving.,A,A,1,A,1,B,1,A,1
Use a Kite Antenna in Amateur Radio,"Find a suitable flying site, check local laws and book the right weather.",Select some wire to use for the antenna and also decide how long the wire needs to be.,B,A,1,A,1,A,1,A,1
Search Google Books,"Enter any search term for a book within the ""Search Books"" section of the Google Books home page.",Review the list of books provided to you in the Google Books search results.,A,B,1,A,1,A,1,A,1
Unbind a Book,Lay the book down on the edge of a flat surface.,Apply pressure to the cover of the book.,A,B,1,A,1,A,1,A,1
Use a Vacuum Pump,Attach your gauges to the ports.,Open your manifold valves.,A,B,1,A,1,A,1,A,1
Write a Teleplay,Begin all acts with fade in.,Start with a title page.,B,B,1,B,1,A,1,A,1
Wire a Simple 120v Electrical Circuit,"Measure the distance from the electrical panel box to the location your new outlet will be installed, following the path you have selected, and trying to determine the actual distance the wire must run.",Feed the wires through the conduit from the receptacle box.,A,B,1,A,1,A,1,A,1
Sponge Paint With Kids,Cut the sponge with scissors along the lines that you drew.,"Get additional sponges to paint with, if desired.",A,B,1,A,1,A,1,A,1
Care For a Leather Jacket,Rub an art gum eraser over grime.,Clean suede with a specialized brush or a dry sponge.,B,B,1,A,1,B,1,A,1
Make a Sequin Letter,Hang the sequin letter (or series of letters that form a word).,Create a hanging loop.,B,A,1,C,3,A,1,A,1
Remove Stains from a Mattress,Vacuum off the baking soda using an upholstery attachment.,Let the baking soda sit for about 8 hours.,B,B,1,B,1,A,1,A,1
Make a Pirate Hat,Fold the bottoms of the paper up.,Add decorations to your finished pirate hat.,A,A,1,A,1,A,1,A,1
Curl Hair With Toilet Paper,Remove the toilet paper in the morning and apply hairspray.,Leave the toilet paper in overnight.,B,B,1,B,1,A,1,A,1
Do Fractions,Solve the equation as you normally would.,Make equivalent fractions so the denominators are the same.,B,B,1,A,1,B,1,A,1
Make a Slurpee,Blend on high until your drink is smooth.,"Add one cup of club soda, sugar, Kool-Aid mix, and cherry extract to a blender.",B,B,1,B,1,B,1,A,1
Make a Mermaid Shell Top,Fill the gaps in on the bra with more embellishments.,"Add some final touches, if desired.",A,B,1,A,1,A,1,A,1
Treat a Conscious Choking Adult or Child,"Look for the food or object to fall out of the mouth, with the help of gravity.",Use the heel of your other hand to firmly thump the infant on the middle of the back.,B,A,1,A,1,A,1,A,1
Get Red Wine out of Fabric Using Baking Soda and Vinegar,Check for any remnants and repeat if needed.,Vacuum or wash your fabric.,B,B,1,A,1,A,1,B,1
Apply for a Divorce in New York,Arrange service in all other situations.,Deliver the papers yourself in an uncontested divorce.,B,A,1,A,1,A,1,A,1
Remove Cactus Needles,Clean your clothes in a washing machine to remove leftover needles.,Pull out large cactus needles with a comb.,B,B,1,B,1,B,1,A,1
Do a Front Lunge Exercise,Repeat these motions on your left side.,Keep your weight on your front (right) heel.,B,A,1,A,1,B,1,A,1
Block a Call,Confirm the registration.,Enter the phone number you want to register.,B,A,1,A,1,A,1,A,1
