Sentence,Typicality,Rating,Item,llama2,llama2_retries,mistral,mistral_retries,orca-mini:7b,orca-mini:7b_retries,qwen:7b,qwen:7b_retries
The athlete won the cup.,Typical (7),5.15,14,5,1,7,1,7,1,7,1
The author signed the check.,Atypical (1),3.4,15,3,1,5,1,T,3,7,1
The author signed the book.,Typical (7),6.15,15,8,3,7,1,7,1,7,1
The baker gathered the soldier.,Atypical (1),1.0,16,5,1,1,2,4,1,5,1
The baker gathered the bread.,Typical (7),6.3,16,8,3,7,1,5,1,7,1
The baker sold the stroller.,Atypical (1),2.05,17,4,1,1,1,B,3,5,1
The baker sold the bread.,Typical (7),6.45,17,6,1,7,1,7,1,7,1
The bank assigned the book.,Atypical (1),2.1,18,1,1,4,1,4,1,7,1
The bank assigned the code.,Typical (7),6.15,18,5,1,5,1,3,1,4,1
The barber cut the cake.,Atypical (1),2.1,19,5,1,4,1,4,1,1,1
The barber cut the hair.,Typical (7),6.65,19,8,3,7,1,9,3,7,1
The barber used the microscope.,Atypical (1),1.2,20,1,1,1,1,4,1,5,1
The barber used the razor.,Typical (7),6.55,20,5,1,7,1,7,1,7,1
The bartender handed the lancet.,Atypical (1),1.4,21,B,3,1,1,4,1,5,1
The bartender handed the drink.,Typical (7),6.55,21,6,1,7,1,7,1,6,1
The bartender shook the flag.,Atypical (1),2.05,22,4,1,1,1,4,1,4,1
The bartender shook the drink.,Typical (7),6.25,22,8,3,7,1,7,1,7,1
The beautician spread the paint.,Atypical (1),2.9,23,5,1,3,1,5,1,5,1
The beautician spread the cream.,Typical (7),5.2,23,7,1,7,1,5,1,7,1
The biker started the lesson.,Atypical (1),3.4,24,5,1,3,1,3,1,7,1
The biker started the motorcycle.,Typical (7),6.15,24,4,1,7,1,8,3,7,2
The biker wore the swimsuit.,Atypical (1),2.1,25,5,1,3,1,2,1,4,1
The biker wore the helmet.,Typical (7),6.8,25,8,3,7,1,7,1,7,1
The billionaire donated the book.,Atypical (1),4.15,26,5,1,8,3,7,1,6,1
The billionaire donated the money.,Typical (7),6.2,26,8,3,7,1,4,1,7,1
The binman collected the flower.,Atypical (1),3.05,27,3,1,3,1,5,1,3,1
The binman collected the trash.,Typical (7),5.35,27,8,3,7,1,6,1,7,1
The biologist used the razor.,Atypical (1),3.3,28,5,1,4,1,3,1,B,3
The biologist used the microscope.,Typical (7),6.7,28,4,1,7,1,7,1,8,3
The blacksmith poured the wine.,Atypical (1),1.6,29,5,1,2,1,4,1,3,1
The blacksmith poured the metal.,Typical (7),6.5,29,1,1,7,1,4,1,5,1
The bodybuilder lifted the flag.,Atypical (1),3.1,30,5,1,3,1,F,3,1,1
The bodybuilder lifted the weight.,Typical (7),6.45,30,8,3,7,1,B,3,7,1
The boss assigned the medal.,Atypical (1),3.0,31,6,1,5,1,4,1,7,1
The boss assigned the job.,Typical (7),6.75,31,6,1,7,1,6,1,7,1
The boss promised the heaven.,Atypical (1),2.25,32,1,1,1,1,5,1,4,1
The boss promised the promotion.,Typical (7),5.95,32,7,1,7,1,7,1,7,1
The botanist examined the tire.,Atypical (1),3.0,33,4,1,1,1,5,1,5,1
The botanist examined the plant.,Typical (7),6.55,33,8,3,7,1,7,1,M,3
The boxer delivered the drink.,Atypical (1),2.2,34,4,1,3,1,3,1,1,1
The boxer delivered the punch.,Typical (7),6.15,34,7,1,7,1,7,1,7,1
The breeder sold the cigarette.,Atypical (1),1.9,35,4,1,1,1,2,1,B,3
The breeder sold the dog.,Typical (7),6.25,35,7,1,6,1,6,1,7,1
The burglar climbed the rock.,Atypical (1),2.75,36,4,1,6,1,5,1,4,1
The burglar climbed the wall.,Typical (7),6.05,36,3,1,5,1,3,1,7,1
The businessman read the fable.,Atypical (1),2.35,37,5,1,6,1,5,1,7,1
The businessman read the report.,Typical (7),6.45,37,4,1,7,1,7,1,7,1
The businessman tied the prisoner.,Atypical (1),1.45,38,5,1,1,1,5,1,5,1
The businessman tied the necktie.,Typical (7),6.5,38,6,1,7,1,5,1,7,1
The businessman wore the uniform.,Atypical (1),4.15,39,B,3,3,1,3,1,7,1
The businessman wore the tie.,Typical (7),6.55,39,7,1,7,1,7,1,7,1
The butcher carved the stone.,Atypical (1),2.3,40,5,1,1,1,3,1,1,1
The butcher carved the meat.,Typical (7),5.75,40,8,3,7,1,9,3,7,1
The butcher cut the tree.,Atypical (1),1.8,41,1,1,1,1,1,1,5,1
The butcher cut the meat.,Typical (7),6.75,41,6,1,7,1,7,1,B,3
The butcher sold the weapon.,Atypical (1),1.6,42,2,1,3,1,4,1,1,1
The butcher sold the meat.,Typical (7),6.95,42,8,3,7,1,7,1,7,1
The butcher used the camera.,Atypical (1),2.05,43,2,1,1,1,2,1,4,1
The butcher used the knife.,Typical (7),6.35,43,6,1,7,1,6,1,7,1
The cameraman recorded the sale.,Atypical (1),2.45,44,4,1,5,1,5,1,7,1
The cameraman recorded the video.,Typical (7),6.85,44,7,1,7,1,7,1,7,1
The candidate celebrated the holiday.,Atypical (1),5.0,45,4,1,7,1,5,1,7,1
The candidate celebrated the victory.,Typical (7),5.9,45,5,1,7,1,5,1,7,1
The carpenter fixed the shoe.,Atypical (1),1.2,46,5,1,5,1,5,1,9,3
The carpenter fixed the chair.,Typical (7),5.55,46,8,3,7,1,7,1,7,1
The carpenter flipped the hair.,Atypical (1),3.1,47,1,1,1,1,1,1,1,1
The carpenter flipped the board.,Typical (7),6.35,47,4,1,5,1,8,3,7,1
The carpenter grabbed the ball.,Atypical (1),1.25,48,1,1,4,1,4,1,4,1
The carpenter grabbed the board.,Typical (7),5.85,48,6,1,7,1,7,1,7,1
The carver built the house.,Atypical (1),2.9,49,5,1,3,1,3,1,4,1
The carver built the sculpture.,Typical (7),6.05,49,7,1,7,1,4,1,7,1
The cat chased the kite.,Atypical (1),3.9,50,5,1,2,1,7,1,7,1
The cat chased the bird.,Typical (7),5.85,50,9,3,7,1,7,1,7,1
The cat drank the coffee.,Atypical (1),1.45,51,1,1,1,1,2,1,1,1
The cat drank the milk.,Typical (7),5.6,51,9,3,7,1,7,1,7,1
The champion held the guitar.,Atypical (1),2.95,52,5,1,5,1,5,1,5,1
The champion held the cup.,Typical (7),6.4,52,7,1,7,2,6,1,7,1
The chauffeur carried the rifle.,Atypical (1),2.1,53,4,1,2,1,5,1,1,1
The chauffeur carried the passenger.,Typical (7),6.65,53,4,1,6,1,5,1,7,1
The cheerleader carried the rifle.,Atypical (1),2.2,54,4,1,1,1,3,1,1,2
The cheerleader carried the flag.,Typical (7),5.2,54,5,1,7,1,4,1,4,1
The cheerleader performed the spell.,Atypical (1),1.65,55,5,1,3,1,F,3,5,1
The cheerleader performed the dance.,Typical (7),5.75,55,8,3,7,1,7,1,8,3
The cheerleader shook the drink.,Atypical (1),2.75,56,5,1,6,1,4,2,7,2
The cheerleader shook the flag.,Typical (7),5.15,56,4,1,8,3,5,1,7,1
The chemist mixed the music.,Atypical (1),1.35,57,4,1,1,1,1,1,1,1
The chemist mixed the substance.,Typical (7),6.85,57,4,2,7,1,7,1,7,2
The chemist poured the juice.,Atypical (1),2.75,58,3,1,7,1,4,1,7,1
The chemist poured the compound.,Typical (7),6.25,58,6,1,5,1,4,1,7,1
The chemist sold the dog.,Atypical (1),1.9,59,4,1,2,1,2,1,1,1
The chemist sold the drug.,Typical (7),4.45,59,5,1,4,1,4,1,7,1
The child ate the bone.,Atypical (1),2.85,60,1,1,1,1,3,1,4,1
The child ate the candy.,Typical (7),6.35,60,8,3,7,1,6,2,7,1
The child built the sculpture.,Atypical (1),3.95,61,6,1,7,1,4,1,7,1
The child built the snowman.,Typical (7),6.15,61,8,3,7,1,7,1,7,1
The child celebrated the victory.,Atypical (1),5.05,62,5,1,7,1,6,1,7,1
The child celebrated the birthday.,Typical (7),6.45,62,B,3,7,1,7,1,7,1
The child chased the thief.,Atypical (1),2.05,63,5,1,6,1,T,3,9,3
The child chased the toy.,Typical (7),6.1,63,5,1,7,1,7,1,7,1
The child climbed the mountain.,Atypical (1),3.2,64,4,1,5,1,5,1,9,3
The child climbed the tree.,Typical (7),5.2,64,1,1,7,1,7,1,7,1
The child crossed the river.,Atypical (1),3.5,65,7,1,5,1,7,1,7,1
The child crossed the park.,Typical (7),5.55,65,8,3,7,2,3,1,7,1
The child cut the tree.,Atypical (1),1.75,66,4,1,4,1,1,1,5,1
The child cut the paper.,Typical (7),5.35,66,8,3,7,1,4,1,7,1
The child drank the beer.,Atypical (1),2.0,67,2,1,1,1,1,1,4,1
The child drank the coke.,Typical (7),4.65,67,8,3,7,1,7,1,7,1
The child drew the horse.,Atypical (1),5.65,68,4,1,7,1,7,1,7,1
The child drew the flower.,Typical (7),4.95,68,8,3,7,1,7,1,5,1
The child enjoyed the lecture.,Atypical (1),2.85,69,4,1,7,1,7,1,6,1
The child enjoyed the ride.,Typical (7),6.7,69,8,3,7,1,M,3,7,1
The child found the corpse.,Atypical (1),1.45,70,5,1,1,1,3,1,7,1
The child found the doll.,Typical (7),5.65,70,8,3,7,1,7,1,7,1
The child grabbed the tyre.,Atypical (1),2.3,71,1,1,4,1,5,1,7,1
The child grabbed the frisbee.,Typical (7),4.95,71,6,1,7,1,7,1,7,1
The child lent the car.,Atypical (1),1.45,72,1,1,1,1,4,1,7,1
The child lent the pen.,Typical (7),4.45,72,8,3,7,1,7,1,7,1
The child opened the congress.,Atypical (1),1.5,73,7,1,1,2,1,1,4,1
The child opened the present.,Typical (7),6.7,73,8,3,7,1,4,1,7,1
The child picked the investment.,Atypical (1),1.65,74,4,1,3,1,B,3,4,1
The child picked the flower.,Typical (7),5.4,74,8,3,8,3,7,1,7,1
The child rode the bull.,Atypical (1),2.0,75,5,1,4,1,5,1,7,1
The child rode the bus.,Typical (7),5.3,75,7,1,7,1,8,3,7,1
The child threw the bottle.,Atypical (1),4.2,76,8,3,7,1,7,1,7,1
The child threw the ball.,Typical (7),6.35,76,8,3,7,1,7,1,7,1
The child threw the spear.,Atypical (1),1.6,77,4,1,7,1,5,1,1,1
The child threw the snowball.,Typical (7),5.95,77,I,3,7,1,6,1,7,1
The child told the verdict.,Atypical (1),2.05,78,7,1,3,1,4,1,5,1
The child told the lie.,Typical (7),5.95,78,4,1,7,1,3,1,7,1
The child visited the president.,Atypical (1),3.05,79,7,1,5,1,4,1,4,1
The child visited the grandmother.,Typical (7),5.95,79,8,3,7,1,5,1,7,1
The child visited the prisoner.,Atypical (1),2.0,80,5,1,1,1,3,1,4,3
The child visited the zoo.,Typical (7),6.3,80,7,1,7,1,7,1,7,1
The child wrote the diagnosis.,Atypical (1),1.05,81,5,1,1,1,3,1,5,2
The child wrote the conjugation.,Typical (7),3.95,81,5,1,5,1,4,1,7,1
The climber climbed the staircase.,Atypical (1),5.6,82,5,1,5,1,5,1,7,3
The climber climbed the rock.,Typical (7),6.8,82,8,3,7,1,7,1,7,1
The climber faced the ocean.,Atypical (1),2.35,83,4,1,4,1,4,1,7,1
The climber faced the wall.,Typical (7),5.5,83,1,1,7,1,5,1,7,1
The climber used the blackboard.,Atypical (1),1.8,84,5,1,1,1,4,1,4,1
The climber used the rope.,Typical (7),6.85,84,8,3,7,1,8,3,7,1
The coach checked the car.,Atypical (1),2.45,85,1,1,2,1,4,1,7,1
The coach checked the team.,Typical (7),6.95,85,8,3,7,1,6,1,7,1
The cobbler fixed the phone.,Atypical (1),1.55,86,4,1,1,1,6,1,6,1
The cobbler fixed the shoe.,Typical (7),6.25,86,1,1,7,1,8,3,7,1
The cobbler sewed the parachute.,Atypical (1),1.6,87,1,1,1,1,3,1,6,1
The cobbler sewed the shoe.,Typical (7),6.6,87,8,3,7,1,5,1,4,1
The collector donated the blood.,Atypical (1),3.4,88,4,1,4,1,7,1,1,1
The collector donated the painting.,Typical (7),3.7,88,8,3,7,1,M,3,7,1
The comedian entertained the soldier.,Atypical (1),4.3,89,8,3,5,2,4,1,5,1
The comedian entertained the audience.,Typical (7),6.35,89,7,1,7,1,7,1,7,1
The confectioner decorated the tree.,Atypical (1),2.9,90,8,3,5,1,5,1,6,1
The confectioner decorated the cake.,Typical (7),6.05,90,8,3,7,1,8,3,7,1
The confectioner spread the cement.,Atypical (1),1.2,91,1,1,1,1,2,1,1,1
The confectioner spread the icing.,Typical (7),6.35,91,4,1,7,1,7,1,7,1
The cook bought the ticket.,Atypical (1),3.0,92,5,1,6,1,5,1,B,3
The cook bought the food.,Typical (7),5.1,92,7,1,7,1,7,1,7,1
The cook checked the tire.,Atypical (1),1.9,93,3,1,1,1,1,1,9,3
The cook checked the groceries.,Typical (7),6.2,93,8,3,7,1,6,1,7,1
The cook cleaned the window.,Atypical (1),2.3,94,4,1,3,1,4,1,5,1
The cook cleaned the fish.,Typical (7),6.1,94,5,1,6,1,4,1,7,1
The cook cut the grass.,Atypical (1),3.35,95,3,1,1,1,4,1,7,1
The cook cut the fish.,Typical (7),5.75,95,4,1,7,1,7,1,7,1
The cook flipped the hair.,Atypical (1),2.5,96,2,1,1,1,4,1,4,1
The cook flipped the pancake.,Typical (7),6.3,96,8,3,7,1,4,1,7,1
The cook mixed the paint.,Atypical (1),1.9,97,1,1,1,1,1,1,1,1
The cook mixed the ingredient.,Typical (7),6.15,97,8,3,7,1,3,1,7,1
The cowboy enjoyed the snack.,Atypical (1),4.8,98,7,1,7,1,4,1,7,1
The cowboy enjoyed the ride.,Typical (7),5.6,98,8,3,5,1,5,1,7,1
The cowboy rode the bike.,Atypical (1),3.25,99,2,1,3,1,3,1,1,1
The cowboy rode the bull.,Typical (7),5.7,99,8,3,7,1,B,3,7,1
The crew loaded the stroller.,Atypical (1),3.4,100,2,1,5,1,4,1,7,1
The crew loaded the container.,Typical (7),5.2,100,6,1,7,1,6,1,7,1
The customer read the music.,Atypical (1),2.6,101,5,1,3,1,3,1,4,1
The customer read the menu.,Typical (7),5.45,101,8,3,7,1,7,1,7,1
