Sentence,Typicality,Rating,Item,llama2,llama2_retries,mistral,mistral_retries,orca-mini:7b,orca-mini:7b_retries,qwen:7b,qwen:7b_retries
The fighter kicked the opponent.,Typical (7),5.55,137,7,1,7,1,7,1,7,1
The firefighter fought the crime.,Atypical (1),2.05,138,4,1,4,1,4,1,7,1
The firefighter fought the fire.,Typical (7),7.0,138,7,1,7,1,7,1,7,1
The fisherman caught the ball.,Atypical (1),2.2,139,4,1,1,1,1,1,1,1
The fisherman caught the fish.,Typical (7),6.45,139,7,1,7,1,7,1,7,1
The fisherman checked the car.,Atypical (1),1.75,140,4,1,5,1,2,1,4,1
The fisherman checked the net.,Typical (7),6.15,140,5,1,7,1,7,1,7,1
The fisherman sold the drug.,Atypical (1),1.55,141,3,1,1,1,4,1,3,1
The fisherman sold the fish.,Typical (7),6.45,141,7,1,6,1,7,1,7,1
The florist sold the bike.,Atypical (1),1.4,142,5,1,F,3,B,3,3,1
The florist sold the flower.,Typical (7),6.15,142,7,1,7,1,7,1,7,1
The footballer chased the toy.,Atypical (1),2.7,143,4,1,1,1,4,1,2,1
The footballer chased the ball.,Typical (7),5.75,143,7,1,7,1,6,1,7,1
The footballer delivered the lecture.,Atypical (1),3.2,144,4,1,4,1,3,1,2,1
The footballer delivered the kick.,Typical (7),5.9,144,5,1,7,1,7,1,7,1
The footballer hit the car.,Atypical (1),2.3,145,3,1,4,1,4,1,7,1
The footballer hit the ball.,Typical (7),6.05,145,6,1,7,1,4,1,7,1
The footballer kicked the vase.,Atypical (1),1.35,146,4,1,2,1,2,1,5,1
The footballer kicked the ball.,Typical (7),6.6,146,7,1,7,1,7,1,7,2
The footballer passed the knife.,Atypical (1),1.55,147,4,1,1,1,4,1,1,1
The footballer passed the ball.,Typical (7),6.75,147,5,1,7,1,7,1,7,1
The gardener cut the fish.,Atypical (1),1.45,148,1,1,1,1,1,1,4,2
The gardener cut the grass.,Typical (7),6.5,148,7,1,7,1,7,1,7,1
The gardener decorated the book.,Atypical (1),2.05,149,4,1,3,1,2,1,4,1
The gardener decorated the garden.,Typical (7),6.3,149,4,1,7,1,4,1,7,1
The gardener gathered the flag.,Atypical (1),1.9,150,4,1,5,1,4,1,1,1
The gardener gathered the grass.,Typical (7),5.65,150,7,1,5,1,4,1,7,1
The gardener pushed the demonstrator.,Atypical (1),2.6,151,4,1,3,1,3,1,5,1
The gardener pushed the mower.,Typical (7),5.65,151,7,1,7,1,7,1,7,1
The general gathered the bread.,Atypical (1),1.85,152,4,1,1,1,4,1,2,1
The general gathered the soldier.,Typical (7),5.9,152,1,1,4,1,2,1,7,1
The general sent the postcard.,Atypical (1),3.2,153,4,1,1,1,7,1,7,1
The general sent the soldier.,Typical (7),6.8,153,4,1,7,1,5,1,7,1
The general won the toy.,Atypical (1),1.55,154,4,1,1,1,3,1,1,1
The general won the battle.,Typical (7),6.1,154,7,1,7,1,8,3,4,1
The goalkeeper caught the fish.,Atypical (1),1.65,155,1,1,1,1,2,1,1,1
The goalkeeper caught the ball.,Typical (7),6.0,155,7,1,7,1,7,1,7,1
The goalkeeper grabbed the phone.,Atypical (1),2.65,156,4,1,1,1,3,1,5,1
The goalkeeper grabbed the ball.,Typical (7),5.6,156,7,1,7,1,6,1,7,1
The goalkeeper held the child.,Atypical (1),2.7,157,4,1,2,1,4,1,7,1
The goalkeeper held the ball.,Typical (7),6.7,157,4,1,7,1,8,3,7,1
The goalkeeper threw the bomb.,Atypical (1),1.05,158,1,1,1,1,3,1,1,1
The goalkeeper threw the ball.,Typical (7),6.15,158,4,1,7,1,7,1,7,1
The government offered the drink.,Atypical (1),1.5,159,7,1,2,1,5,1,7,1
The government offered the protection.,Typical (7),5.7,159,4,1,6,1,7,1,7,2
The grandfather told the strategy.,Atypical (1),4.15,160,4,1,4,1,5,1,5,1
The grandfather told the story.,Typical (7),6.55,160,7,1,7,1,7,1,7,1
The guard opened the present.,Atypical (1),2.05,161,7,1,4,1,4,1,7,1
The guard opened the jail.,Typical (7),6.5,161,5,1,5,1,5,1,7,1
The guard tied the roast.,Atypical (1),2.5,162,4,1,1,1,5,1,5,1
The guard tied the prisoner.,Typical (7),4.8,162,4,1,7,1,6,1,7,1
The guest held the camera.,Atypical (1),3.55,163,5,1,4,1,3,1,7,1
The guest held the drink.,Typical (7),5.3,163,7,1,7,1,7,1,7,1
The guest hung the laundry.,Atypical (1),3.9,164,1,1,5,1,7,1,7,1
The guest hung the coat.,Typical (7),5.2,164,7,1,7,1,5,1,7,1
The guide described the software.,Atypical (1),3.8,165,5,1,7,1,4,1,7,1
The guide described the monument.,Typical (7),5.9,165,7,1,7,1,8,3,7,1
The hairstylist fixed the bike.,Atypical (1),1.25,166,1,1,1,1,4,1,4,1
The hairstylist fixed the hair.,Typical (7),6.85,166,7,1,7,1,7,1,7,1
The hairstylist flipped the board.,Atypical (1),1.9,167,5,1,5,1,1,1,7,1
The hairstylist flipped the hair.,Typical (7),6.35,167,7,1,7,1,5,1,7,1
The hairstylist sprayed the pesticide.,Atypical (1),1.25,168,4,1,1,1,3,1,2,1
The hairstylist sprayed the foam.,Typical (7),5.95,168,4,1,7,1,6,1,7,1
The hairstylist washed the infant.,Atypical (1),2.85,169,1,1,1,1,4,1,7,1
The hairstylist washed the hair.,Typical (7),6.15,169,7,1,7,1,5,1,7,1
The hiker faced the camera.,Atypical (1),3.95,170,4,1,5,1,5,1,7,1
The hiker faced the mountain.,Typical (7),6.15,170,7,1,5,1,5,1,7,1
The horse drew the trailer.,Atypical (1),2.7,171,4,1,1,1,5,1,7,1
The horse drew the carriage.,Typical (7),4.05,171,7,1,7,1,7,1,7,1
The horse moved the suitcase.,Atypical (1),1.4,172,M,3,1,1,4,1,5,1
The horse moved the cart.,Typical (7),4.3,172,4,1,1,1,7,1,7,1
The horse pulled the suitcase.,Atypical (1),1.55,173,1,1,2,1,4,1,5,1
The horse pulled the cart.,Typical (7),4.95,173,5,1,7,1,7,1,7,1
The hostess explained the poem.,Atypical (1),1.75,174,4,1,5,1,4,1,7,1
The hostess explained the procedure.,Typical (7),4.1,174,5,1,6,1,B,3,7,1
The hound fetched the money.,Atypical (1),2.85,175,1,1,1,1,1,1,B,3
The hound fetched the bird.,Typical (7),5.05,175,4,1,7,1,5,1,7,1
