goal,step0,step1,label,llama2,llama2_retries,mistral,mistral_retries,orca-mini:7b,orca-mini:7b_retries,qwen:7b,qwen:7b_retries
Weld Galvanized Steel,"Get a welding mask, respirator, welding gloves, and apron.",Use a fume extractor or set up a fan directly next to your welding site.,A,B,1,B,1,B,1,B,1
Make Chestnut Stuffing,Remove the stuffing when it is brown on top.,Cover and bake.,B,B,1,A,1,A,1,I,3
Get Into Harvard University,Meet for an interview if you are selected to do so.,Wait for a decision.,A,B,1,A,1,A,1,B,1
Infuse Vodka with Flavor,Strain the vodka.,Sample and enjoy!,A,A,1,A,1,A,1,A,1
File for Divorce in Oklahoma,Request a temporary order if necessary.,Serve your spouse with your divorce petition and the summons.,B,B,1,A,2,A,1,A,1
Make a Pipe from a Soda Can,"Get a needle,  pin or other sharp object.",Make an thumb-sized indention on side of the can.,A,B,2,A,1,A,1,A,1
Backstitch,Position your needle at one end of the guideline.,Use the machine to stitch along the line about 0.51 in (1.3,A,A,1,A,1,A,1,A,1
Include References on a Resume,List your references and their relevant information.,"Under the heading, add a clear title.",B,A,1,A,1,B,1,B,1
Play the Lute,Pluck each string and check the pitch with an electric tuner.,Rotate the corresponding pegs to adjust any out-of-tune strings.,A,B,1,A,1,B,1,B,1
Obtain a Copy of Your Birth Certificate in Ohio,Fill out the application form.,Have payment ready.,A,A,1,A,1,A,1,B,1
Bypass a Water Softener,Turn the valve to the bypass position to shut off soft wa,Locate the bypass valve near the tubes running off the water softener.,B,B,1,B,1,A,1,B,1
Replace Laminate Flooring,Place transition strips at doorways and other openings.,Apply pressure to the flooring.,B,A,1,A,1,A,1,A,1
Make Oatmeal Play Clay,"Place all of the dry ingredients, except for the oats, into a mixing bowl.",Add the oil.,A,A,1,A,1,A,1,A,1
Gift Wrap a Chocolate Bar in Brown Paper and Lace,Done.,Finish with decorative elements.,B,A,1,C,3,A,1,A,1
Factory Reset a Nook,Press the Home button.,"On the Home menu, tap Settings.",A,B,1,B,1,B,2,A,1
Clean Vans,Remove any caked-on dirt outside.,Use dish detergent and warm water.,A,A,1,A,1,A,1,A,1
Sell Scrap Metal,Allow facility personnel to unload your vehicle.,Weigh your vehicle.,B,A,1,A,1,A,1,A,1
Make Face Whitening Mask,Spread the mask over your face.,Stir the ingredients with a spoon or fork.,B,B,1,B,1,A,1,B,1
Paint a Greenhouse with Poinsettias in Watercolor,"Gather your supplies; a basic set of tube watercolors, brushes, a palette or white plastic plate, a water container, table salt and a support for your paper.",Set up colors on the palette.,A,A,1,A,1,A,1,A,1
Dispute a Chargeback,Wait for the result.,Attach evidence.,B,B,1,B,1,B,1,B,1
Apply Diatomaceous Earth,Vacuum up the powder after it has been sitting for 24 to 48 hours.,Reapply the powder after 2 weeks to kill any remaining bugs.,A,B,1,A,1,A,1,A,1
Create MP3 Files from Wikipedia Articles Using Pediaphon,Pick the language of your choice.,Go to the Pediaphon website.,B,B,1,A,1,A,1,A,1
Download Karaoke Songs,Download an IDM(internet download manager) along with key or keygen or crack.,Now go to online karaoke websites like KaraFun to listen to your favorite song the moment you play a song the IDM shows a download symbol.,A,B,1,A,1,A,1,A,1
Make a Petticoat,Sew the bottom and middle tiers together using a 1/2-inch (1.3-cm) seam.,Fold the seam against the middle tier and topstitch it down.,A,A,1,A,1,B,1,A,1
Create a Battery from a Lemon,Squeeze the lemon without breaking its skin.,Gather your materials.,B,A,1,B,1,A,1,B,1
Download Songs from SoundCloud,Open the SoundCloud site.,Click the search bar.,A,A,1,A,1,A,1,A,1
Remove Hair Naturally,Sprinkle cornstarch or arrowroot powder over the area to be waxed.,Wash the area you want to wax and prepare it for waxing.,B,A,1,A,1,A,1,B,1
Give a Speech in Front of Your Class,Pause for 10 seconds before you start your speech.,Project your voice.,A,A,1,A,1,A,1,A,1
Fit Fascia Boards,Cut the boards to length you need using a circular saw.,Rip the tops of the fascia boards to match the slope of your roof.,A,B,2,A,1,A,1,B,1
Play the Oboe,Curve your hands into C-shapes around the body of the oboe.,Set your left hand on the upper keys and your right hand below it.,A,B,1,A,1,A,1,A,1
Get Universal Studios Tickets from Costco,Use the trip builder to search for theme park trips.,Pick a Universal Studios package.,A,B,1,A,1,A,1,B,1
Wear Finger Picks,Form the pick to your finger.,Place the pick on the end of your index finger.,B,B,1,A,1,B,1,A,1
Divorce in Arkansas,Receive a Summons from court.,File the Complaint for Divorce.,B,B,1,A,1,A,1,A,1
Use a Vertical Water Smoker,Use a chimney starter to light charcoal for the smoker.,Place the food you want to smoke on the grates in the food chamber.,A,A,1,A,1,A,1,A,1
Color Hair,"Apply the henna paste to clean, dry hair.",Read the instructions and mix up the henna paste.,B,B,1,A,1,A,1,B,1
Make a Paracord Combat Bracelet,Repeat the second part of the knot.,Continue this process.,A,A,1,B,1,A,2,A,1
Make a Model of the Earth,Trace the continents onto the ball.,Paint the land and water.,A,A,1,A,1,A,1,B,1
Draw a Pretzel,Complete the drawing.,"From the top line, close the image full circle, with the knot at the center.",B,B,1,A,1,B,1,B,1
Make a Triangle in Photoshop on PC or Mac,Select the pen tool.,Click on a point on the canvas where you want to start your triangle.,A,B,1,A,1,B,1,B,1
Make a Camera Copy Stand,Pack the rod in tightly.,Drill a hole the diameter of the wooden rod (one inch/2.5cm).,B,A,1,I,3,A,1,I,3
Make a Noodle Beverage Boat,Measure each side of your container and cut the noodle to fit each side.,"Thread the noodle parts over a long, sturdy string or rope.",A,A,1,A,1,A,1,A,1
Create a DIY Extreme Macro Tube,Cut a hole in the metal bottom of an empty Pringles can.,Glue the body cap onto the Pringles can with super glue.,A,A,1,A,1,A,1,A,1
Make a Christmas Bow,Fluff the loops on either side.,Finish the bow.,A,I,3,A,1,A,1,A,1
Wash a Wool Coat,Lay the coat flat to dry.,Roll the coat in a towel.,B,B,1,A,1,A,1,B,1
Join Two Pieces of Wood,Allow the glue to cure overnight.,Wipe away excess glue after 20 minutes.,B,B,1,A,1,A,1,T,3
Build Stencils,Choose your material.,Reinforce your stencil.,A,A,1,A,1,A,1,A,1
Make a Foam Rocket,Slide the triangles together at the slits to lock then together.,Slide the interlocked fins into the slits in the bottom of your rocket.,A,B,1,R,3,A,1,A,1
Make a FlowerFilled Tulle,Arrange the flowers on the skirt.,Glue the flowers in place.,A,A,1,A,1,A,1,A,1
Make Spa Water,"Add the water, cucumber, and ice to a pitcher For the spa water, youll need a pitcher that holds approximately 2-quarts (1",Allow the water mixture to sit for a couple of hours before serving.,A,A,1,A,1,A,1,A,1
Use a Kite Antenna in Amateur Radio,"Find a suitable flying site, check local laws and book the right weather.",Select some wire to use for the antenna and also decide how long the wire needs to be.,B,B,1,A,1,A,1,A,1
Search Google Books,"Enter any search term for a book within the ""Search Books"" section of the Google Books home page.",Review the list of books provided to you in the Google Books search results.,A,I,3,A,1,A,1,A,1
Unbind a Book,Lay the book down on the edge of a flat surface.,Apply pressure to the cover of the book.,A,A,1,A,1,A,1,A,1
Use a Vacuum Pump,Attach your gauges to the ports.,Open your manifold valves.,A,A,1,A,1,A,1,A,1
Write a Teleplay,Begin all acts with fade in.,Start with a title page.,B,B,1,A,1,A,1,B,1
Wire a Simple 120v Electrical Circuit,"Measure the distance from the electrical panel box to the location your new outlet will be installed, following the path you have selected, and trying to determine the actual distance the wire must run.",Feed the wires through the conduit from the receptacle box.,A,A,1,A,1,A,1,A,1
Sponge Paint With Kids,Cut the sponge with scissors along the lines that you drew.,"Get additional sponges to paint with, if desired.",A,A,1,A,1,A,1,A,1
Care For a Leather Jacket,Rub an art gum eraser over grime.,Clean suede with a specialized brush or a dry sponge.,B,B,1,A,1,B,1,B,1
Make a Sequin Letter,Hang the sequin letter (or series of letters that form a word).,Create a hanging loop.,B,B,3,B,1,A,1,B,1
Remove Stains from a Mattress,Vacuum off the baking soda using an upholstery attachment.,Let the baking soda sit for about 8 hours.,B,B,1,B,1,A,1,B,1
Make a Pirate Hat,Fold the bottoms of the paper up.,Add decorations to your finished pirate hat.,A,A,1,A,1,A,1,A,1
Curl Hair With Toilet Paper,Remove the toilet paper in the morning and apply hairspray.,Leave the toilet paper in overnight.,B,B,1,B,1,A,1,B,1
Do Fractions,Solve the equation as you normally would.,Make equivalent fractions so the denominators are the same.,B,B,1,B,1,A,1,B,1
Make a Slurpee,Blend on high until your drink is smooth.,"Add one cup of club soda, sugar, Kool-Aid mix, and cherry extract to a blender.",B,B,1,A,1,A,1,A,1
Make a Mermaid Shell Top,Fill the gaps in on the bra with more embellishments.,"Add some final touches, if desired.",A,A,1,B,1,A,1,A,1
Treat a Conscious Choking Adult or Child,"Look for the food or object to fall out of the mouth, with the help of gravity.",Use the heel of your other hand to firmly thump the infant on the middle of the back.,B,A,1,A,1,A,1,A,1
Get Red Wine out of Fabric Using Baking Soda and Vinegar,Check for any remnants and repeat if needed.,Vacuum or wash your fabric.,B,A,1,A,1,A,1,B,1
Apply for a Divorce in New York,Arrange service in all other situations.,Deliver the papers yourself in an uncontested divorce.,B,B,1,A,1,B,1,B,1
Remove Cactus Needles,Clean your clothes in a washing machine to remove leftover needles.,Pull out large cactus needles with a comb.,B,A,1,A,1,A,1,B,1
Do a Front Lunge Exercise,Repeat these motions on your left side.,Keep your weight on your front (right) heel.,B,A,1,T,3,A,1,A,1
Block a Call,Confirm the registration.,Enter the phone number you want to register.,B,B,1,B,1,A,1,B,1
Stretch Out Jeans,Lay the jeans on the floor or your bed.,Heat the jeans using a hair dryer on a medium setting.,A,A,1,A,1,A,2,A,1
Write a Credit Card Dispute Letter,Begin with the date and addresses at the top.,Include a salutation.,A,A,1,A,1,A,1,B,1
Shrink Socks,Transfer socks from boiling water into the dryer.,Dry boiled socks using the hottest dryer setting possible.,A,A,1,A,1,A,1,A,1
Use a Circular Saw,Unplug the saw when youre done usi,Release the trigger to stop the blade after each cut.,B,B,1,B,1,B,1,B,1
Arrange a Window Box,Choose a color scheme.,Fill the box evenly throughout.,A,A,1,A,1,A,1,A,1
Make a Tiny Vampire Pumpkin,Transfer your measurements to the pumpkin using the pencil.,Measure the vampire teeth.,B,B,1,A,1,A,1,A,1
Remove Wax from a Glass Table Top,Heat up the wax.,Remove the wax.,A,B,1,A,1,B,1,A,1
Change Your Name in New Mexico,Determine where you will file your name change petition.,Verify your eligibility to file to change your name.,B,B,1,B,1,A,1,B,1
Obtain a Copy of Your Birth Certificate in Texas,Receive copies of your birth certificate.,Send in the application or take it to the designated location along with the required fee.,B,B,1,A,1,A,1,B,1
Cook Stuffed Peppers,"Bake the peppers for 30-40 minutes, until they're soft.",Stuff the beef mixture into the peppers.,B,B,1,B,1,A,1,B,1
Use a Tide to Go Pen,Rub the dispersed solution into the stain.,Wait and reapply as necessary.,A,A,1,A,1,A,1,B,1
Build Plyo Boxes,Purchase an 8 by 4 feet (2.4 by 1.2 m) piece of plywood.,Measure and mark your plywood pieces.,A,B,1,A,1,A,1,B,1
Draw an Umbrella,Write the date and you are finished!,"Color in the handle dark green, and the metal rod black.",B,A,1,A,1,A,1,B,1
Make a Hair Stick from a Knitting Needle,Measure and mark on the knitting needle the point where you need to cut.,Cut the knitting needle to length with a hacksaw.,A,A,1,A,1,A,1,A,1
Make Decorative Garden Mushrooms,Spray paint the outside of the pot white or off-white.,Choose a terracotta pot and drain plate.,B,B,1,A,1,A,1,B,1
Use a Foam Roller on Your Legs,Roll back and forth from your thigh to your hip.,Repeat the process on your left side.,A,A,1,A,1,A,1,B,1
Make Jiggly Slime,Refrigerate your jiggly slime in a Ziploc bag or throw it away.,Mix 1 cup (240 mL) of hot water into your slime.,B,B,1,A,1,A,1,B,1
Learn a Dance from a Video,"When you have a section of moves worked out, do them together.",Start learning the moves.,B,B,1,B,1,A,1,B,1
Eat a Watermelon,Rinse the outside.,Pick a ripe one.,B,A,1,B,1,A,1,B,1
Calculate Molarity,Know the basic formula for calculating molarity.,Examine the problem.,A,A,1,A,1,A,3,B,1
Do a One Armed Push Up,Lower yourself.,Push upward.,A,A,1,A,1,A,1,A,1
Make Beetroot Juice,Set up your juicers collection and pulp conta,Feed the chunks through the juicer.,A,A,1,A,1,A,1,A,1
Buy a Fish for a Child,Feed your fish carefully.,Transfer from the bag to your tank.,B,A,1,A,1,A,1,B,1
Get a Rebate,Fill out the form for the mail-in rebate.,Read the rebate form carefully.,B,B,1,B,1,A,1,B,1
Make a Sleeveless Shirt,"Cut into the side of the shirt, cutting upward at a slight angle.","Hem the edges, if you would like to keep the shirt from fraying.",A,B,1,B,1,B,1,A,1
Open Nail Glue,Insert a pin into the center of the nail glue tip or where indicated.,Replace the lid when youre not using the nail,A,A,1,B,1,A,1,A,1
Spin a Drumstick,Hook your pinky finger.,Transfer the stick from your pinky to your pointer finger.,A,B,1,A,1,A,1,A,1
Clean Suede Shoes,Stick paper and shoe trees in your shoes.,Let the shoes dry at least overnight.,A,B,1,A,1,A,1,A,1
Build a Bean Bag Game,Use a strong cloth for the beanbags.,"Sew around the square or rectangle, leaving enough room to pour in the beans.",A,B,1,A,1,A,1,A,1
Calculate Percent Change,Subtract the original value from the new value.,Divide your answer by the original value.,A,A,1,A,1,A,1,A,1
Make a String Covered Jar,Follow the first two steps of the previous method.,Finish off by cutting the last section's string off when it can't be wound into place on the side of the jar any further.,A,B,1,A,1,B,1,A,1
Produce Those Tricky Lead Synth Patterns Heard in Trance Music,"Get a sound generator, basically any software or hardware synthesis that includes a sequencer will do (to generate a synthesis pattern).",Realize that lead synthesis patterns in trance music can be just as important as lead guitar riffs in rock music.,B,A,1,A,1,A,1,A,1
Carve Faces in Wood,Clamp the wood in place or hold it in place.,Strip the wood with a drawknife if your wood has outer bark.,A,A,1,A,1,A,1,A,1
Make a Book Safe,Remove loose pages and continue cutting.,Clean up the edges.,A,B,1,A,1,A,1,A,1
Make a Felt Rosebud Pincushion,Gather the edge of the large felt circle using 8 to 4 inch (0.3 to 0.6 c,"Coil the petal strip, fastening it along the bottom edge with stitches in matching thread color.",A,A,1,B,1,A,1,A,1
Rationalize the Denominator,Examine the fraction.,Rewrite the denominator in terms of exponents.,A,A,1,A,1,A,1,A,1
Block a Number from Texting You,Tap on the Plus sign.,Tap on Settings.,B,A,1,T,3,A,1,B,1
Clean a Cartridge Type Swimming Pool Filter,Seal the acid container when you are finished with it.,Spray the acid-cleaned filters with a hose.,B,B,1,B,1,A,1,A,1
Unicycle,Transfer your weight to the foot on the lower pedal.,Position the pedals in the same vertical position you used to mount the unicycle.,B,B,1,A,1,A,1,A,1
Level Basement Floor,Use a squeegee or trowel to spread around the self-leveling agent.,Pour the self-leveling agent over the floor.,B,B,1,A,1,A,1,A,1
Get a Valet Parking Job,Follow up.,Show enthusiasm.,B,A,1,A,1,A,1,B,1
Clean a Carboy,Combine bleach and water.,Let soak overnight.,A,B,1,A,1,A,1,A,1
Silently Call Emergency Services on iPhone or Apple Watch,Make sure the siren is turned off.,Hold the power button and one of the volume buttons at the same time.,A,A,1,A,1,A,1,B,1
Play Shuffleboard,Keep playing.,Score the disks.,B,B,1,B,1,A,1,A,1
Water Color with Distress Markers,Secure your paper.,Color on a nonstick sheet or acrylic plate.,A,A,1,A,1,A,1,A,1
Cut an OfftheShoulder A,Choose a basic tank top that fits you well to use as a template.,Lay the tank top flat and fold the top 3 to 6 inches (7.6 to 15.2 cm) over.,A,B,1,A,1,B,1,A,1
Use Spotify,Find music for your playlist.,Add the music to your playlist.,A,A,1,A,1,A,1,A,1
Make a Chiptune,Come up with a melody for your chiptune.,Listen to other chiptunes to get an idea of what they're like.,B,A,1,B,1,A,1,B,1
Dry Glitter Glue Fast,Plug in a hairdryer and set it to low or medium heat.,Hold your hairdryer about ten inches from the surface of your glitter glue.,A,B,1,A,1,A,1,A,1
Automatically Fill Your Decorative Garden Fountain,Fill and re-energize the fountain.,Run the tube from the bottom of the fountain to the bottom of the bucket (fitting obtained from hardware store).,B,B,1,B,1,B,3,B,1
Play Quarters,Drink the bug chug.,Begin the game.,B,B,1,B,1,A,1,A,1
Make an Origami Soccer Ball,Finished!,Surround each black pentagon with white pieces to create the ball.,B,B,1,A,1,A,3,B,1
Change the Name on a Driver's License Due to Marriage,Submit the completed application.,Complete the application.,B,I,3,B,1,A,2,A,1
Use Vanish,Rinse off the fabric in a sink.,Let the Vanish soak in for 5 minutes.,B,B,1,B,1,A,1,A,1
Measure the pH of Water,Collect a sample of the water in a clean container.,Dip a test strip into your sample.,A,A,1,A,1,A,1,A,1
Make a Papier Mch,Make a base layer of paper over your base.,Allow the volcano to dry between each step.,A,A,1,A,1,A,1,B,1
Make Sand Candles,Gently brush the excess sand off using a soft-bristled brush.,Remove the candle from the sand carefully the next day.,B,A,1,A,1,A,1,A,1
Become an Au Pair in the US,Create a profile with your agency representative.,Interview with potential families to get to know them.,A,A,1,A,1,A,1,A,1
Create an Amazon Storefront,Set the permissions for provided files/directories.,Open your FTP client software (or use the control panel provided by your web host) and upload the Associate-O-Matic files to your server (web host).,B,A,1,A,1,B,1,B,1
Play Sparkle (Spelling Game),Continue in the same way until only 1 player is left.,Prompt the next person in the circle to give the first letter.,B,B,1,B,1,A,1,A,1
Cover Wires,"Mount the filled track from the source of the wire to the wall, continuing either to the floor or to the ceiling.",Thread the wire into the open track in the wire conduit.,B,B,1,B,1,A,1,B,1
